Title;Price(Kč/1000g);Country;Variety;Altitude;Processing;Taste;BIO
HORKÁ ČOKOLÁDA V PRÁŠKU 42% BIO - MALINA;538;Dominikánská rep.;;;;Malina;Ano
HORKÁ ČOKOLÁDA V PRÁŠKU 42% BIO;523;Dominikánská rep.;;;;Mléčná čokoláda;Ano
ČOKOLÁDOVO - OŘECHOVÁ zrnková káva;580;Peru;Typica;1900m;Mokré;Čokoláda, ořech;Ne
GUATEMALA - ANTIQUA SAN JUAN zrnková káva;684;Guatemala;Bourbon;1830m;Mokré;Broskev, meruňka;Ne
ROBUSTA GUATEMALA FINCA SANTA MARGARITA washed;529;Guatemala;Robusta;500 - 700m;Mokré;Ovoce;Ne
ROBUSTA UGANDA;495;Uganda;Robusta;1500m;Mokré;Plná, kouřovitá;Ne
VÝCHODNÍ TIMOR - zrnková káva;716;Timor;Catimor;;Mokré;Sladká, mírná s hořkou čokoládou;Ne
TANZANIA AA KILIMANJARO RAINFOREST ALIANCE;813;Tanzanie;Bourbon;1700m;Mokré;Jemná, citrusová;Ne
EL SALVADOR zrnková káva;734;El Salvador;Pacas;1200m;Mokré;Karamel;Ne
SALVÁDOR SHG CARACOLI PB (peaberry) - zrnková káva;758;El Salvador;Bourbon;1500 - 1700m;Mokré;Karamel, ovoce;Ne
BOLÍVIE AA - zrnková káva;748;Bolívie;Caturra;1400m;Mokré;Čokoláda a pomeranč;Ne
COLUMBIA HUILA WOMEN´S COFFEE PROJECT - Micro Lot;869;Kolumbie;Castillo;1500 - 1700m;Mokré;Citrusy a ořechy;Ne
ZELENÁ KÁVA Kolumbia Supremo Medelin;551;Kolumbie;Bourbon;2180m;Mokré;Zelený čaj;Ne
Zelená káva ŠTÍHLÁ LINIE;681;;Mix;mix;Mokré;Zelený čaj;Ne
ZELENÁ KÁVA Brazílie Santos;466;Brazilie;Bourbon;1300m;Mokré;Zelený čaj;Ne
RWANDA FULLY WASHED MUHONDO - zrnková káva;1140;Rwanda;Bourbon;1100 - 1800m;Mokré;Třtinový cukr, kiwi a pomeranče;Ne
MALAWI MZUZU - zrnková káva;683;Malawi;;1100 - 1800m;Mokré;Karamel s čokoládou, citrusy;Ne
BURUNDI zrnková káva;739;Burundi;Bourbon;1800m;Mokré;Citrus, skořice;Ne
KEŇA KAINAMUI AA - Micro Lot;1050;Keňa;SL 34;1800m;Mokré;Ovoce, čokoláda;Ne
INDIE HONEY 15 up GOORGHULLY - Micro Lot;696;Indie;Catuai;910 - 1040m;Mokré;Ovoce, koření;Ne
INDIE MONSOON MALABAR AA zrnková káva;715;Indie;Kents;1700m;Mokré (monzunováním);Zemitá chuť;Ne
PORTORIKO 360 RESERVA - zrnková káva;2440;Portoriko;Bourbon;1200m;Mokré;Čokoláda, koření;Ne
PANAMA GEISHA ESMERALDA  - Micro Lot;3989;Panama;Varietal Geisha;1150-1500m;Mokré;Květiny, ovoce, jasmín, med;Ne
PANAMA GEISHA LA BERLINA SHG - Micro Lot;5026;Panama;Varietal Geisha;1500 - 1700m;Mokré;Květiny, citrusy, jasmín, med;Ne
KAKAOVÝ PRÁŠEK PANAMA (20/22);538;Panama;;;;Středně hořká čokoláda;Ne
NICARAGUA ROYAL MOMOTAMBO;656;Nicaragua;;1200m;Mokré;Plná, čokoládová;Ne
BRAZÍLIE SANTOS NY2 17/18 FINE CUP ALFENANS DULCE;532;Brazilie;Bourbon;940-1120m;Mokré;Ořechy, květiny;Ne
ČOKOLÁDOVÉ ČOČKY MEXICO ORIGIN 66%;1037;Mexiko;;;;Hořká čokoláda;Ne
ČOKOLÁDOVÉ ČOČKY EKVÁDOR ORIGIN  64%;704;Ekvádor;;;;Hořká čokoláda;Ne
ČOKOLÁDOVÉ ČOČKY MADAGASKAR ORIGIN 69,4%;917;Madagaskar;;;;Hořká čokoláda;Ne
ČOKOLÁDOVÁ rozpustná káva;651;Mexiko;;1350m;Vymrazování;Čokoláda;Ne
ČOKOLÁDOVÉ ČOČKY CUBA ORIGIN 72%;1055;Kuba;;;;Hořká čokoláda;Ne
KUBA ALTURA LAVADO;919;Kuba;Typica;700m;Mokré;Sladce tabáková;Ne
KONGO LATUMBA AA - zrnková káva;1050;Kongo;Bourbon;1700-2000m;Mokré;Ovoce, koření;Ne
ROBUSTA KAMERUN;378;Kamerun;Robusta;840m;Mokré;Hořká čokoláda;Ne
JEMEN ASRAR HARAZ BIO - Micro Lot;1816;Jemen;Mix;1500 - 2000m;Suché;Čokoláda, tropické ovoce;Ano
HONDURAS FINCA LA HACIENDA - Micro Lot;745;Honduras;Catuai;1100 - 1300m;Mokré;Čokoláda, ovoce;Ne
DOMINICANA BARAHONA AA - zrnková káva;854;Dominikánská rep.;Typica;800 - 1500m;Mokré;Čokoláda, ovoce;Ne
BEZKOFEINOVÁ ROZPUSTNÁ KÁVA PERU - BIO;1979;Peru;Typica;1900m;Vymrazování;Čokoláda, ovoce;Ano
EKVÁDOR - lyofilizovaná rozpustná káva;798;Ekvádor;;;Vymrazování;Víno, ovoce;Ne
EKVÁDOR rozpustná káva 100% robusta;654;Ekvádor;;;;Silná, citrusová;Ne
MEXICO rozpustná káva - mix arabicy a robusty;620;Mexiko;;;Vymrazování;Citrus;Ne
KAROB BIO (Ceratonia siliqua) - prášek;290;Španělsko;;;;Mléčná čokoláda;Ano
KAKAOVÝ PRÁŠEK - GHANA (10/12);593;Ghana;;;;Středně hořká čokoláda;Ne
KAKAOVÝ PRÁŠEK - SANTO DOMINGO (10/12);649;Haity;;;;Středně hořká čokoláda;Ne
PERU ALADINO DELGADO WASHED - Micro Lot;711;Peru;Caturra;2750m;Mokré;Čokoláda, karamel;Ne
GUATEMALA SHB EP ACATENANGO - zrnková káva;708;Guatemala;Caturra;1800m;Mokré;Ovoce, čokoláda;Ne
GUATEMALA SHB El JAGUAR;688;Guatemala;Bourbon;1300 - 1500m;Mokré;Plná, svěží;Ne
INDIE PLANTATION A zrnková káva;697;Indie;Kents;1600m;Mokré;Koření;Ne
PANAMA SHG EP BOQUETE INDIAN BARU;890;Panama;;1350-1750m;Mokré;Silná, citrusová;Ne
INDONÉSIE SULAWESI KALOSSI TORAJA GRADE 1;745;Java/Indonésie;Catimor;1100 - 1800m;Mokré;Čokoláda, ovoce;Ne
GUATEMALA LA PROVIDENCIA - Micro Lot;967;Guatemala;Caturra;1300 - 1500m;Mokré;Karamel, ovoce;Ne
UGANDA AA MOUNT RWENZORI zrnková káva;620;Uganda;Typica;1900m;Mokré;Ovoce s nugátem;Ne
ETHIOPIA SIDAMO zrnková káva;758;Etiopie;Forest Coffee;2200m;Mokré;Citrus;Ne
ETHIOPIA YIRGA CHEFFE zrnková káva;715;Etiopie;Mixed Heirloom;2200m;Mokré;Květinová;Ne
MEXICO ALTURA zrnková káva;758;Mexiko;Caturra;1800m;Mokré;Ořech, čokoláda;Ne
HONDURAS GENUINE MARCALA zrnková káva;759;Honduras;Catuai;1500m;Mokré;Karamel, ovoce;Ne
TANZANIA AA North Fine Quality zrnková káva;858;Tanzanie;Bourbon;1540m;Mokré;Ovoce, čokoláda;Ne
MEXICO MARAGOGYPE BARRANCO HAND zrnková káva;1103;Mexiko;Maragogype;1900m;Mokré;Ovoce;Ne
ETHIOPIA DJIMMAH zrnková káva;592;Etiopie;Heirloom;1500m;Mokré;Víno, ovoce;Ne
JAMAJKA BLUE MOUNTAIN - zrnková káva;6939;Jamajka;Bourbon;900 - 1600m;Mokré;Ovoce, ořechy, čokoláda;Ne
HAWAII KONA HULA DADDY – zrnková káva;5664;Havaj;Bourbon;;Mokré;Květinově ovocná, čokoládová;Ne
DOMINICANA AA JUNCALITO;772;Dominikánská rep.;Bourbon;1300-1800m;Mokré;Ovoce a pomeranč;Ne
NICARAGUA SHG JINOTEGA zrnková káva;716;Nicaragua;Caturra;1150-1500m;Mokré;Čokoláda a pomeranč;Ne
KOLUMBIA EXCELSO MEDELIN zrnková káva;650;Kolumbie;Bourbon;1600m;Mokré;Kokos;Ne
MANU BLEND - kakaový prášek;649;EU;;;;Hořká čokoláda;Ne
KAKAO EXTRA BRUT  (22/24) - kakaový prášek;675;;;;;Hořká čokoláda;Ne
HORKÁ ČOKOLÁDA V PRÁŠKU 42% BIO - MINT;538;Dominikánská rep.;;;;Mátová;Ano
ROBUSTA KONGO;407;Kongo;;600m;;Lískový oříšek;Ne
CAPPUCCINO rozpustná káva;642;Mexiko;;1350m;Vymrazování;Cappuccino;Ne
SMETANOVÁ rozpustná káva;637;Mexiko;;1350m;Mokré;Smetana;Ne
AMARETTO rozpustná káva;642;Mexiko;;;Vymrazování;Amaretto;Ne
MEXICO ALTURA zrnková káva;758;Mexiko;Caturra;1800m;Mokré;Ořech, čokoláda;Ne
BRAZÍLIE YELLOW B. FAZENDA DA LAGOA;782;Brazilie;Yellow Bourbon;1100m;Mokré;Čokoláda se suš.ovocem;Ne
MEXICO rozpustná káva - mix arabicy a robusty;620;Mexiko;;;Vymrazování;Citrus;Ne
IRISH WHISKEY zrnková káva;580;Peru;Typica;1900m;Mokré;Irish whiskey;Ne
NOC PAŘÍŽE zrnková káva;580;Peru;Typica;1900m;Mokré;Francouzský likér;Ne
KARAMELOVÁ zrnková káva;580;Peru;Typica;1900m;Mokré;Karamel;Ne
ČOKOLÁDOVÁ zrnková káva;580;Peru;Typica;1900m;Mokré;Čokoláda;Ne
ČERNÝ RYBÍZ S VIŠNÍ zrnková káva;580;Peru;Typica;1900m;Mokré;Černý rybíz s višní;Ne
JAHODY VE SMETANĚ zrnková káva;580;Peru;Typica;1900m;Mokré;Jahody, smetana;Ne
AMARETTO zrnková káva;580;Peru;Typica;1900m;Mokré;Amaretto;Ne
KRÉMOVÉ SUŠENKY - zrnková káva;580;Peru;Typica;1900m;Mokré;Mléčně - čokoládová;Ne
HORKÁ ČOKOLÁDA V PRÁŠKU 42% BIO - MASALA CHAI;538;Dominikánská rep.;;;;Čokoláda s masalou;Ano
KARAMELOVÁ zrnková káva;580;Peru;Typica;1900m;Mokré;Karamel;Ne
HORKÁ ČOKOLÁDA V PRÁŠKU 42% BIO - MINT;538;Dominikánská rep.;;;;Mátová;Ano
HORKÁ ČOKOLÁDA V PRÁŠKU 42% BIO - CHILI;538;Dominikánská rep.;;;;Pikantní, sladká;Ano
