ID;Binary-Euclid-Precision;Binary-Euclid-Recall;Binary-Euclid-F-measure;Binary-Cosine-Precision;Binary-Cosine-Recall;Binary-Cosine-F-measure;TF-Euclid-Precision;TF-Euclid-Recall;TF-Euclid-F-measure;TF-Cosine-Precision;TF-Cosine-Recall;TF-Cosine-F-measure;TF-IDF-Cosine-Precision;TF-IDF-Euclid-Recall;TF-IDF-Euclid-F-measure;TF-IDF-Cosine-Precision;TF-IDF-Cosine-Recall;TF-IDF-Cosine-F-measure
15;0,0;0,0;0;0,1;0,3333333333333333;0,15384615384615383;0,1;0,3333333333333333;0,15384615384615383;0,1;0,3333333333333333;0,15384615384615383;0,2;0,6666666666666666;0,30769230769230765;0,2;0,6666666666666666;0,30769230769230765
16;0,0;0,0;0;0,2;0,5;0,28571428571428575;0,2;0,5;0,28571428571428575;0,2;0,5;0,28571428571428575;0,3;0,75;0,4285714285714285;0,3;0,75;0,4285714285714285
17;0,0;0,0;0;0,1;0,3333333333333333;0,15384615384615383;0,0;0,0;0;0,0;0,0;0;0,2;0,6666666666666666;0,30769230769230765;0,2;0,6666666666666666;0,30769230769230765
18;0,0;0,0;0;0,1;0,25;0,14285714285714288;0,1;0,25;0,14285714285714288;0,1;0,25;0,14285714285714288;0,2;0,5;0,28571428571428575;0,2;0,5;0,28571428571428575
19;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0
20;0,0;0,0;0;0,3;0,3;0,3;0,2;0,2;0,20000000000000004;0,3;0,3;0,3;0,5;0,5;0,5;0,5;0,5;0,5
21;0,1;0,2;0,13333333333333333;0,1;0,2;0,13333333333333333;0,1;0,2;0,13333333333333333;0,2;0,4;0,26666666666666666;0,2;0,4;0,26666666666666666;0,2;0,4;0,26666666666666666
22;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0
23;0,0;0,0;0;0,1;0,030303030303030304;0,04651162790697675;0,1;0,030303030303030304;0,04651162790697675;0,1;0,030303030303030304;0,04651162790697675;0,3;0,09090909090909091;0,13953488372093023;0,4;0,12121212121212122;0,186046511627907
24;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0;0,2;0,5;0,28571428571428575;0,2;0,5;0,28571428571428575
25;0,0;0,0;0;0,1;0,1;0,10000000000000002;0,4;0,4;0,4000000000000001;0,2;0,2;0,20000000000000004;0,5;0,5;0,5;0,5;0,5;0,5
26;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0;0,1;0,14285714285714285;0,11764705882352941;0,1;0,14285714285714285;0,11764705882352941
27;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0;0,1;0,25;0,14285714285714288;0,2;0,5;0,28571428571428575
28;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0
29;0,0;0,0;0;0,5;0,5;0,5;0,0;0,0;0;0,0;0,0;0;0,3;0,3;0,3;0,4;0,4;0,4000000000000001
30;0,0;0,0;0;0,0;0,0;0;0,1;0,125;0,11111111111111112;0,1;0,125;0,11111111111111112;0,1;0,125;0,11111111111111112;0,1;0,125;0,11111111111111112
31;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0;0,0;0,0;0;0,1;0,5;0,16666666666666669;0,1;0,5;0,16666666666666669
32;0,0;0,0;0;0,1;0,14285714285714285;0,11764705882352941;0,1;0,14285714285714285;0,11764705882352941;0,2;0,2857142857142857;0,23529411764705882;0,1;0,14285714285714285;0,11764705882352941;0,1;0,14285714285714285;0,11764705882352941
