ID;Binary-Euclid-Precision;Binary-Euclid-Recall;Binary-Euclid-F-measure;Binary-Cosine-Precision;Binary-Cosine-Recall;Binary-Cosine-F-measure;TF-Euclid-Precision;TF-Euclid-Recall;TF-Euclid-F-measure;TF-Cosine-Precision;TF-Cosine-Recall;TF-Cosine-F-measure;TF-IDF-Cosine-Precision;TF-IDF-Euclid-Recall;TF-IDF-Euclid-F-measure;TF-IDF-Cosine-Precision_1;TF-IDF-Cosine-Recall;TF-IDF-Cosine-F-measure
163;0.1;0.25;0.142857143;0.2;0.5;0.285714286;0.1;0.25;0.142857143;0.1;0.25;0.142857143;0.2;0.5;0.285714286;0.2;0.5;0.285714286
164;0;0;0;0.1;0.111111111;0.105263158;0.2;0.222222222;0.210526316;0.2;0.222222222;0.210526316;0.5;0.555555556;0.526315789;0.7;0.777777778;0.736842105
165;0;0;0;0.2;0.666666667;0.307692308;0;0;0;0;0;0;0.3;1;0.461538462;0.3;1;0.461538462
166;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.111111111;0.105263158;0.1;0.111111111;0.105263158
167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
168;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0.666666667;0.307692308;0.2;0.666666667;0.307692308
169;0;0;0;0;0;0;0.1;0.2;0.133333333;0.1;0.2;0.133333333;0.3;0.6;0.4;0.3;0.6;0.4
170;0.1;0.142857143;0.117647059;0.2;0.285714286;0.235294118;0;0;0;0.3;0.428571429;0.352941176;0.4;0.571428571;0.470588235;0.5;0.714285714;0.588235294
171;0;0;0;0.3;0.75;0.428571429;0.2;0.5;0.285714286;0.3;0.75;0.428571429;0.4;1;0.571428571;0.4;1;0.571428571
172;0.2;0.4;0.266666667;0.4;0.8;0.533333333;0.5;1;0.666666667;0.5;1;0.666666667;0.5;1;0.666666667;0.5;1;0.666666667
173;0;0;0;0.3;1;0.461538462;0;0;0;0.1;0.333333333;0.153846154;0.3;1;0.461538462;0.3;1;0.461538462
174;0.1;0.166666667;0.125;0.3;0.5;0.375;0;0;0;0.1;0.166666667;0.125;0.2;0.333333333;0.25;0.2;0.333333333;0.25
